L_Gene	L_ident	L_MeanUMI	R_Gene	R_ident	R_MeanUMI	Str
pp_L_4_Hsp90aa1	pp_L_4	4.01286406777778	epi_R_6_F11r	epi_R_6	0.866368260159363	0.954353457504865
pp_L_0_Btla	pp_L_0	0.24879582211329	epi_R_1_F11r	epi_R_1	0.339669138198198	0.00366848308050377
pp_L_0_Btla	pp_L_0	0.24879582211329	epi_R_2_F11r	epi_R_2	0.363637634726143	0.00366848308050377
pp_L_0_Btla	pp_L_0	0.24879582211329	epi_R_3_F11r	epi_R_3	0.486436020930233	0.00366848308050377
pp_L_0_Btla	pp_L_0	0.24879582211329	epi_R_4_F11r	epi_R_4	0.27837125443038	0.00366848308050377
pp_L_0_Btla	pp_L_0	0.24879582211329	epi_R_5_F11r	epi_R_5	0.332622204504505	0.00366848308050377
pp_L_0_Btla	pp_L_0	0.24879582211329	epi_R_6_F11r	epi_R_6	0.866368260159363	0.00366848308050377
pp_L_0_App	pp_L_0	0.267055869825708	epi_R_1_F11r	epi_R_1	0.339669138198198	0.00422673101036483
pp_L_0_App	pp_L_0	0.267055869825708	epi_R_2_F11r	epi_R_2	0.363637634726143	0.00422673101036483
pp_L_0_App	pp_L_0	0.267055869825708	epi_R_3_F11r	epi_R_3	0.486436020930233	0.00422673101036483
pp_L_0_App	pp_L_0	0.267055869825708	epi_R_4_F11r	epi_R_4	0.27837125443038	0.00422673101036483
pp_L_0_App	pp_L_0	0.267055869825708	epi_R_5_F11r	epi_R_5	0.332622204504505	0.00422673101036483
pp_L_0_App	pp_L_0	0.267055869825708	epi_R_6_F11r	epi_R_6	0.866368260159363	0.00422673101036483
pp_L_1_App	pp_L_1	0.565243644009217	epi_R_1_F11r	epi_R_1	0.339669138198198	0.0189352798919296
pp_L_1_App	pp_L_1	0.565243644009217	epi_R_2_F11r	epi_R_2	0.363637634726143	0.0189352798919296
pp_L_1_App	pp_L_1	0.565243644009217	epi_R_3_F11r	epi_R_3	0.486436020930233	0.0189352798919296
